X (g),Y (g),Z (g),Timestamp,acceleration (g),time (s)
1.19,-0.07,0.33,2025-02-04 13:47:21,1.2368912644206038,2.566371681415929
1.26,-0.07,0.33,2025-02-04 13:47:21,1.3043772460450236,2.5752212389380533
1.31,-0.07,0.34,2025-02-04 13:47:21,1.3552121605121465,2.584070796460177
1.37,-0.08,0.36,2025-02-04 13:47:21,1.4187670703818862,2.5929203539823007
1.42,-0.09,0.39,2025-02-04 13:47:21,1.475330471453769,2.601769911504425
1.43,-0.11,0.42,2025-02-04 13:47:21,1.4944564229177109,2.6106194690265485
1.4,-0.12,0.44,2025-02-04 13:47:21,1.4724129855444767,2.6194690265486726
1.32,-0.1,0.43,2025-02-04 13:47:21,1.391869246732609,2.6283185840707963
1.22,-0.08,0.39,2025-02-04 13:47:21,1.2833160171991933,2.6371681415929205
1.15,-0.06,0.34,2025-02-04 13:47:21,1.200708124399931,2.646017699115044
1.1,-0.03,0.3,2025-02-04 13:47:21,1.140570032922135,2.6548672566371683
1.08,-0.01,0.26,2025-02-04 13:47:21,1.1109005356016353,2.663716814159292
1.07,-0.01,0.23,2025-02-04 13:47:21,1.0944861808172819,2.672566371681416
1.08,-0.01,0.21,2025-02-04 13:47:21,1.1002726934719411,2.6814159292035398
1.09,-0.02,0.2,2025-02-04 13:47:21,1.1083771921146701,2.6902654867256635
1.1,-0.03,0.2,2025-02-04 13:47:21,1.118436408563312,2.6991150442477876
1.11,-0.03,0.22,2025-02-04 13:47:21,1.1319893992436503,2.7079646017699117
1.13,-0.05,0.23,2025-02-04 13:47:21,1.1542530051942683,2.7168141592920354
1.12,-0.06,0.23,2025-02-04 13:47:21,1.1449454135459909,2.725663716814159
1.13,-0.07,0.22,2025-02-04 13:47:21,1.153342967204465,2.734513274336283
1.12,-0.08,0.22,2025-02-04 13:47:21,1.1442027792310243,2.7433628318584073
1.09,-0.1,0.21,2025-02-04 13:47:21,1.1145402639653716,2.752212389380531
1.07,-0.1,0.2,2025-02-04 13:47:21,1.0931148155614763,2.7610619469026547
1.06,-0.11,0.19,2025-02-04 13:47:21,1.082497113160123,2.769911504424779
1.01,-0.13,0.18,2025-02-04 13:47:21,1.034117981663601,2.7787610619469025
1.01,-0.13,0.18,2025-02-04 13:47:21,1.034117981663601,2.7876106194690267
0.99,-0.13,0.16,2025-02-04 13:47:21,1.011236866416568,2.7964601769911503
0.96,-0.13,0.15,2025-02-04 13:47:21,0.9803060746521975,2.8053097345132745
0.95,-0.12,0.14,2025-02-04 13:47:21,0.9677293009927931,2.814159292035398
0.93,-0.12,0.12,2025-02-04 13:47:21,0.9453570753953239,2.823008849557522
0.91,-0.12,0.11,2025-02-04 13:47:21,0.9244457799135654,2.831858407079646
0.91,-0.1,0.1,2025-02-04 13:47:21,0.9209234495874237,2.84070796460177
0.91,-0.09,0.09,2025-02-04 13:47:21,0.9188579868510695,2.849557522123894
0.9,-0.08,0.09,2025-02-04 13:47:21,0.9080198235721508,2.8584070796460175
0.89,-0.08,0.09,2025-02-04 13:47:21,0.8981091247727082,2.8672566371681416
0.89,-0.07,0.09,2025-02-04 13:47:21,0.8972736483370054,2.8761061946902657
0.89,-0.07,0.09,2025-02-04 13:47:21,0.8972736483370054,2.8849557522123894
0.89,-0.07,0.1,2025-02-04 13:47:21,0.8983317872590283,2.893805309734513
0.89,-0.06,0.11,2025-02-04 13:47:21,0.8987769467448529,2.9026548672566372
0.89,-0.04,0.11,2025-02-04 13:47:21,0.8976636341080104,2.911504424778761
0.89,-0.03,0.11,2025-02-04 13:47:21,0.8972736483370054,2.920353982300885
0.88,-0.03,0.12,2025-02-04 13:47:21,0.8886506625215558,2.9292035398230087
0.88,-0.02,0.13,2025-02-04 13:47:21,0.8897752525216691,2.938053097345133
0.87,-0.02,0.13,2025-02-04 13:47:21,0.8798863562983574,2.9469026548672566
0.87,-0.03,0.14,2025-02-04 13:47:21,0.8817028978062849,2.9557522123893802
0.87,-0.03,0.14,2025-02-04 13:47:21,0.8817028978062849,2.9646017699115044
0.86,-0.03,0.14,2025-02-04 13:47:21,0.8718371407550839,2.9734513274336285
0.85,-0.03,0.14,2025-02-04 13:47:21,0.8619744775803979,2.982300884955752
0.83,-0.04,0.14,2025-02-04 13:47:21,0.8426743143112884,2.991150442477876
0.81,-0.05,0.14,2025-02-04 13:47:22,0.8235289915965315,3.0
0.8,-0.05,0.13,2025-02-04 13:47:22,0.8120344820264717,3.0089285714285716
0.79,-0.06,0.12,2025-02-04 13:47:22,0.8013114251026252,3.017857142857143
0.78,-0.06,0.11,2025-02-04 13:47:22,0.79,3.0267857142857144
0.77,-0.06,0.09,2025-02-04 13:47:22,0.7775602870517501,3.0357142857142856
