X (g),Y (g),Z (g),Timestamp,acceleration (g),time (s)
0.81,-0.03,0.3,2025-02-11 11:08:12,0.8642916174532761,1.3981481481481481
0.81,-0.03,0.31,2025-02-11 11:08:12,0.8678133439859058,1.4074074074074074
0.81,-0.02,0.33,2025-02-11 11:08:12,0.8748714191239763,1.4166666666666665
0.82,-0.0,0.34,2025-02-11 11:08:12,0.8876936408468858,1.425925925925926
0.83,0.01,0.35,2025-02-11 11:08:12,0.9008329478876758,1.4351851851851851
0.84,0.01,0.36,2025-02-11 11:08:12,0.9139474820797965,1.4444444444444444
0.85,-0.0,0.36,2025-02-11 11:08:12,0.9230926280715277,1.4537037037037037
0.87,-0.01,0.37,2025-02-11 11:08:12,0.9454628496138809,1.4629629629629628
0.89,-0.01,0.38,2025-02-11 11:08:12,0.9677809669548166,1.4722222222222223
0.92,-0.0,0.39,2025-02-11 11:08:12,0.9992497185388646,1.4814814814814814
0.94,-0.0,0.41,2025-02-11 11:08:12,1.0255242561733973,1.4907407407407407
0.96,0.0,0.43,2025-02-11 11:08:12,1.0519030373565808,1.5
0.98,0.01,0.45,2025-02-11 11:08:12,1.0784247771634328,1.509259259259259
1.0,0.01,0.46,2025-02-11 11:08:12,1.10077245605075,1.5185185185185186
1.02,0.0,0.46,2025-02-11 11:08:12,1.1189280584559491,1.5277777777777777
1.03,-0.01,0.46,2025-02-11 11:08:12,1.1280957406177898,1.537037037037037
1.03,-0.06,0.47,2025-02-11 11:08:12,1.1337548235840058,1.5462962962962963
1.13,-0.09,0.45,2025-02-11 11:08:12,1.2196310917650468,1.5555555555555556
1.15,-0.1,0.46,2025-02-11 11:08:12,1.242618203632958,1.5648148148148149
1.18,-0.12,0.46,2025-02-11 11:08:12,1.27216351150314,1.574074074074074
1.23,-0.13,0.47,2025-02-11 11:08:12,1.3231402042111786,1.5833333333333333
1.28,-0.15,0.47,2025-02-11 11:08:12,1.3717871555019023,1.5925925925925926
1.32,-0.19,0.48,2025-02-11 11:08:12,1.4173566946961518,1.6018518518518519
1.33,-0.21,0.49,2025-02-11 11:08:12,1.4328642643321106,1.6111111111111112
1.31,-0.23,0.51,2025-02-11 11:08:12,1.4244648117802,1.6203703703703702
1.26,-0.24,0.51,2025-02-11 11:08:12,1.380326048439281,1.6296296296296295
1.19,-0.25,0.5,2025-02-11 11:08:12,1.314762335937564,1.6388888888888888
1.12,-0.25,0.47,2025-02-11 11:08:12,1.2400806425390247,1.6481481481481481
1.07,-0.25,0.43,2025-02-11 11:08:12,1.1799576263578282,1.6574074074074074
1.03,-0.23,0.38,2025-02-11 11:08:12,1.121695145750395,1.6666666666666665
1.01,-0.21,0.33,2025-02-11 11:08:12,1.083097410208334,1.675925925925926
1.0,-0.18,0.29,2025-02-11 11:08:12,1.0566456359631644,1.6851851851851851
1.0,-0.16,0.27,2025-02-11 11:08:12,1.0480935072788116,1.6944444444444444
1.01,-0.15,0.26,2025-02-11 11:08:12,1.0536602868097478,1.7037037037037037
1.01,-0.13,0.26,2025-02-11 11:08:12,1.0509995242624994,1.7129629629629628
1.01,-0.12,0.26,2025-02-11 11:08:12,1.0498095065296371,1.7222222222222223
1.01,-0.13,0.27,2025-02-11 11:08:12,1.0535179163165664,1.7314814814814814
1.0,-0.14,0.28,2025-02-11 11:08:12,1.047854951794379,1.7407407407407407
0.99,-0.16,0.28,2025-02-11 11:08:12,1.0412012293500235,1.75
0.97,-0.17,0.28,2025-02-11 11:08:12,1.023816389788716,1.759259259259259
0.96,-0.18,0.28,2025-02-11 11:08:12,1.016070863670443,1.7685185185185186
0.93,-0.19,0.26,2025-02-11 11:08:12,0.9841747812253676,1.7777777777777777
0.91,-0.18,0.25,2025-02-11 11:08:12,0.960728889958036,1.787037037037037
0.9,-0.18,0.24,2025-02-11 11:08:12,0.9486832980505138,1.7962962962962963
0.88,-0.18,0.22,2025-02-11 11:08:12,0.9247702417357513,1.8055555555555554
0.87,-0.19,0.21,2025-02-11 11:08:12,0.9149316914393119,1.8148148148148149
0.86,-0.19,0.19,2025-02-11 11:08:12,0.9009994450608724,1.824074074074074
0.85,-0.19,0.17,2025-02-11 11:08:12,0.8874119674649424,1.8333333333333333
0.84,-0.2,0.17,2025-02-11 11:08:12,0.880056816347672,1.8425925925925926
0.83,-0.19,0.16,2025-02-11 11:08:12,0.866371744691619,1.8518518518518519
0.82,-0.15,0.16,2025-02-11 11:08:12,0.8488227141164401,1.8611111111111112
0.9,-0.22,0.15,2025-02-11 11:08:12,0.938562730988185,1.8703703703703702
0.78,-0.21,0.13,2025-02-11 11:08:12,0.8181686867633106,1.8796296296296295
0.84,-0.17,0.14,2025-02-11 11:08:12,0.8683893136145792,1.8888888888888888
0.9,-0.23,0.14,2025-02-11 11:08:12,0.9394147114027968,1.8981481481481481
0.78,-0.18,0.13,2025-02-11 11:08:12,0.810987052917616,1.9074074074074074
0.87,-0.18,0.13,2025-02-11 11:08:12,0.897886407069402,1.9166666666666665
0.86,-0.19,0.13,2025-02-11 11:08:12,0.8902808545621994,1.9259259259259258
0.83,-0.19,0.13,2025-02-11 11:08:12,0.8613361713059542,1.9351851851851851
0.87,-0.18,0.14,2025-02-11 11:08:12,0.8993886812718959,1.9444444444444444
0.83,-0.17,0.14,2025-02-11 11:08:12,0.8587199776411399,1.9537037037037037
0.82,-0.18,0.13,2025-02-11 11:08:12,0.8495292814258965,1.9629629629629628
0.82,-0.16,0.13,2025-02-11 11:08:12,0.8455175929571187,1.9722222222222223
0.81,-0.17,0.14,2025-02-11 11:08:12,0.8394045508573325,1.9814814814814814
0.81,-0.16,0.15,2025-02-11 11:08:12,0.83916625289629,1.9907407407407407
0.83,-0.18,0.15,2025-02-11 11:08:13,0.8624384035976134,2.0
0.82,-0.16,0.16,2025-02-11 11:08:13,0.8506468127254694,2.009259259259259
0.82,-0.15,0.16,2025-02-11 11:08:13,0.8488227141164401,2.0185185185185186
0.84,-0.13,0.16,2025-02-11 11:08:13,0.8649277426467484,2.0277777777777777
0.85,-0.08,0.16,2025-02-11 11:08:13,0.8686195945291586,2.037037037037037
0.87,-0.07,0.18,2025-02-11 11:08:13,0.8911789943664516,2.0462962962962963
0.89,-0.04,0.2,2025-02-11 11:08:13,0.9130717386930778,2.0555555555555554
0.9,-0.03,0.22,2025-02-11 11:08:13,0.9269843580125827,2.064814814814815
0.91,-0.01,0.23,2025-02-11 11:08:13,0.938669270829721,2.074074074074074
0.92,0.0,0.24,2025-02-11 11:08:13,0.950789145920377,2.0833333333333335
0.93,0.01,0.24,2025-02-11 11:08:13,0.9605206921248496,2.0925925925925926
0.94,0.01,0.24,2025-02-11 11:08:13,0.9702061636580134,2.1018518518518516
0.95,-0.0,0.24,2025-02-11 11:08:13,0.9798469268207152,2.111111111111111
0.96,0.02,0.25,2025-02-11 11:08:13,0.9922197337283712,2.1203703703703702
0.95,0.04,0.28,2025-02-11 11:08:13,0.9912113800799505,2.1296296296296298
0.95,0.06,0.32,2025-02-11 11:08:13,1.0042410069301093,2.138888888888889
0.95,0.08,0.34,2025-02-11 11:08:13,1.0121758740456126,2.148148148148148
0.94,0.08,0.36,2025-02-11 11:08:13,1.0097524449091468,2.1574074074074074
0.93,0.09,0.37,2025-02-11 11:08:13,1.004937809021036,2.1666666666666665
0.93,0.1,0.37,2025-02-11 11:08:13,1.0058826969383656,2.175925925925926
0.94,0.11,0.37,2025-02-11 11:08:13,1.0161692772368194,2.185185185185185
0.97,0.12,0.37,2025-02-11 11:08:13,1.045083728703112,2.1944444444444446
1.0,0.13,0.37,2025-02-11 11:08:13,1.0741508273980893,2.2037037037037037
1.06,0.15,0.36,2025-02-11 11:08:13,1.129468901740991,2.212962962962963
1.13,0.16,0.34,2025-02-11 11:08:13,1.1908400396358865,2.2222222222222223
1.19,0.16,0.33,2025-02-11 11:08:13,1.2452309022827854,2.2314814814814814
1.24,0.16,0.32,2025-02-11 11:08:13,1.2905812643921344,2.240740740740741
1.27,0.13,0.33,2025-02-11 11:08:13,1.318597740025365,2.25
1.28,0.08,0.34,2025-02-11 11:08:13,1.3268006632497589,2.259259259259259
1.26,0.02,0.34,2025-02-11 11:08:13,1.3052202879207786,2.2685185185185186
1.23,-0.0,0.35,2025-02-11 11:08:13,1.2788275880665072,2.2777777777777777
1.19,-0.08,0.36,2025-02-11 11:08:13,1.2458330546265017,2.287037037037037
1.09,-0.02,0.4,2025-02-11 11:08:13,1.1612493272333897,2.2962962962962963
1.13,-0.09,0.4,2025-02-11 11:08:13,1.2020815280171306,2.3055555555555554
1.13,-0.15,0.4,2025-02-11 11:08:13,1.2080562900792329,2.314814814814815
1.01,-0.05,0.41,2025-02-11 11:08:13,1.0911920087683926,2.324074074074074
1.09,-0.14,0.4,2025-02-11 11:08:13,1.1694870670511923,2.3333333333333335
1.07,-0.17,0.41,2025-02-11 11:08:13,1.1584040745784694,2.3425925925925926
1.01,-0.15,0.4,2025-02-11 11:08:13,1.0966312051004201,2.351851851851852
1.05,-0.05,0.41,2025-02-11 11:08:13,1.128317331250389,2.361111111111111
1.07,-0.23,0.36,2025-02-11 11:08:13,1.152128465059344,2.3703703703703702
1.03,-0.12,0.34,2025-02-11 11:08:13,1.0912836478203087,2.3796296296296298
1.07,-0.16,0.33,2025-02-11 11:08:13,1.1311056537742175,2.388888888888889
1.08,-0.03,0.34,2025-02-11 11:08:13,1.132651755836718,2.398148148148148
1.09,-0.09,0.32,2025-02-11 11:08:13,1.1395613191048564,2.4074074074074074
0.98,-0.11,0.29,2025-02-11 11:08:13,1.0279105019407089,2.4166666666666665
0.95,-0.07,0.28,2025-02-11 11:08:13,0.9928746144403129,2.425925925925926
0.92,-0.11,0.27,2025-02-11 11:08:13,0.965090669315583,2.435185185185185
0.86,-0.09,0.26,2025-02-11 11:08:13,0.9029396436085858,2.4444444444444446
0.81,-0.11,0.25,2025-02-11 11:08:13,0.8548099203916624,2.4537037037037037
0.75,-0.12,0.25,2025-02-11 11:08:13,0.7996249120681521,2.462962962962963
0.72,-0.16,0.23,2025-02-11 11:08:13,0.7725930364687479,2.4722222222222223
0.67,-0.15,0.23,2025-02-11 11:08:13,0.7240856302952021,2.4814814814814814
0.67,-0.14,0.23,2025-02-11 11:08:13,0.722080327941428,2.4907407407407405
0.65,-0.14,0.24,2025-02-11 11:08:13,0.7068946173228369,2.5
0.65,-0.14,0.25,2025-02-11 11:08:13,0.7103520254071217,2.509259259259259
0.63,-0.16,0.26,2025-02-11 11:08:13,0.7000714249274855,2.5185185185185186
0.61,-0.15,0.27,2025-02-11 11:08:13,0.6837397165588672,2.5277777777777777
0.61,-0.15,0.27,2025-02-11 11:08:13,0.6837397165588672,2.537037037037037
0.6,-0.14,0.27,2025-02-11 11:08:13,0.6726812023536856,2.5462962962962963
0.61,-0.13,0.27,2025-02-11 11:08:13,0.6796322535018479,2.5555555555555554
0.6,-0.14,0.27,2025-02-11 11:08:13,0.6726812023536856,2.564814814814815
0.61,-0.15,0.27,2025-02-11 11:08:13,0.6837397165588672,2.574074074074074
0.61,-0.14,0.28,2025-02-11 11:08:13,0.685638388656878,2.583333333333333
0.63,-0.13,0.29,2025-02-11 11:08:13,0.7056202944927251,2.5925925925925926
0.64,-0.11,0.31,2025-02-11 11:08:13,0.7195832127002408,2.601851851851852
0.64,-0.09,0.32,2025-02-11 11:08:13,0.7211795892841116,2.611111111111111
0.65,-0.09,0.33,2025-02-11 11:08:13,0.7345066371381542,2.6203703703703702
0.66,-0.08,0.34,2025-02-11 11:08:13,0.7467261881037789,2.6296296296296298
0.68,-0.08,0.35,2025-02-11 11:08:13,0.7689603370785778,2.638888888888889
0.73,-0.05,0.38,2025-02-11 11:08:13,0.8244998483929514,2.648148148148148
0.76,-0.05,0.4,2025-02-11 11:08:13,0.8602906485601247,2.6574074074074074
0.79,-0.04,0.41,2025-02-11 11:08:13,0.8909545442950499,2.6666666666666665
0.81,-0.04,0.42,2025-02-11 11:08:13,0.9132907532653554,2.675925925925926
0.84,-0.02,0.43,2025-02-11 11:08:13,0.9438749917229504,2.685185185185185
0.88,-0.02,0.43,2025-02-11 11:08:13,0.9796427920420789,2.6944444444444446
0.91,-0.0,0.43,2025-02-11 11:08:13,1.0064790112068907,2.7037037037037037
0.95,-0.0,0.44,2025-02-11 11:08:13,1.0469479452198185,2.712962962962963
0.98,0.0,0.46,2025-02-11 11:08:13,1.0825894882179485,2.7222222222222223
1.02,0.0,0.47,2025-02-11 11:08:13,1.12307613277106,2.7314814814814814
1.04,0.0,0.48,2025-02-11 11:08:13,1.1454256850621083,2.7407407407407405
1.07,0.01,0.48,2025-02-11 11:08:13,1.1727744881263404,2.75
1.08,0.0,0.47,2025-02-11 11:08:13,1.1778370006074694,2.759259259259259
1.1,-0.0,0.46,2025-02-11 11:08:13,1.1923086848631106,2.7685185185185186
1.11,-0.02,0.45,2025-02-11 11:08:13,1.1979148550710939,2.7777777777777777
1.12,-0.02,0.45,2025-02-11 11:08:13,1.2071868123865503,2.787037037037037
1.13,-0.03,0.45,2025-02-11 11:08:13,1.2166757990524837,2.7962962962962963
1.11,-0.03,0.45,2025-02-11 11:08:13,1.1981235328629516,2.8055555555555554
1.1,-0.03,0.45,2025-02-11 11:08:13,1.1888650049522025,2.814814814814815
1.08,-0.03,0.45,2025-02-11 11:08:13,1.1703845521878695,2.824074074074074
1.08,-0.03,0.44,2025-02-11 11:08:13,1.1665761869676579,2.833333333333333
1.1,-0.04,0.43,2025-02-11 11:08:13,1.1817360111293893,2.8425925925925926
1.1,-0.05,0.43,2025-02-11 11:08:13,1.1821167455035904,2.851851851851852
1.12,-0.06,0.42,2025-02-11 11:08:13,1.1976643937263896,2.861111111111111
1.15,-0.07,0.43,2025-02-11 11:08:13,1.2297560733739028,2.8703703703703702
1.19,-0.09,0.43,2025-02-11 11:08:13,1.2685030547854428,2.8796296296296298
1.22,-0.1,0.44,2025-02-11 11:08:13,1.300769003320728,2.888888888888889
1.23,-0.14,0.48,2025-02-11 11:08:13,1.3277424449041313,2.898148148148148
1.2,-0.16,0.5,2025-02-11 11:08:13,1.3098091464026353,2.9074074074074074
1.15,-0.18,0.5,2025-02-11 11:08:13,1.2668464784653268,2.9166666666666665
1.1,-0.2,0.48,2025-02-11 11:08:13,1.2167168939404105,2.9259259259259256
1.06,-0.21,0.45,2025-02-11 11:08:13,1.170555423719868,2.935185185185185
1.03,-0.2,0.4,2025-02-11 11:08:13,1.122898036332774,2.9444444444444446
1.01,-0.18,0.35,2025-02-11 11:08:13,1.08397416943394,2.9537037037037037
1.03,-0.16,0.31,2025-02-11 11:08:13,1.0874741376235115,2.962962962962963
1.05,-0.14,0.29,2025-02-11 11:08:13,1.0982713690158732,2.9722222222222223
1.08,-0.13,0.28,2025-02-11 11:08:13,1.1232542009714452,2.9814814814814814
1.11,-0.12,0.29,2025-02-11 11:08:13,1.1535163631262455,2.9907407407407405
1.14,-0.12,0.3,2025-02-11 11:08:14,1.1849050594878898,3.0
1.17,-0.13,0.31,2025-02-11 11:08:14,1.2173331507849443,3.008695652173913
